Üniversite Adı,Ders Adı,Ders Tanımı,stemmed_text
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Sabancı Üniversitesi,Yapay Zeka,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Boğaziçi Üniversitesi,Veri Bilimi,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Marmara Üniversitesi,Mobil Uygulama Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Hacettepe Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
İstanbul Üniversitesi,Dijital Oyun Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Ankara Üniversitesi,Veri Bilimi,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Sabancı Üniversitesi,Dijital Oyun Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Orta Doğu Teknik Üniversitesi,Web Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
İstanbul Teknik Üniversitesi,Sistem Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Marmara Üniversitesi,Genel Matematik,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Marmara Üniversitesi,Programlama Dilleri,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Koç Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Marmara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
İstanbul Üniversitesi,Web Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Orta Doğu Teknik Üniversitesi,Web Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Koç Üniversitesi,Nesne Tabanlı Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Marmara Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Yıldız Teknik Üniversitesi,Makine Ãğrenmesi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Yıldız Teknik Üniversitesi,Siber Güvenlik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Yıldız Teknik Üniversitesi,Genel Matematik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Hacettepe Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Hacettepe Üniversitesi,Siber Güvenlik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
İstanbul Teknik Üniversitesi,Sistem Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Ankara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Orta Doğu Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Hacettepe Üniversitesi,Web Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Boğaziçi Üniversitesi,Kriptografi ve Veri Güvenliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Ankara Üniversitesi,Bilgisayar Ağları,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Hacettepe Üniversitesi,Mobil Uygulama Geliştirme,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Sabancı Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Sabancı Üniversitesi,Programlama Dilleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Hacettepe Üniversitesi,İnternet Programcılığı,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
İstanbul Üniversitesi,Dijital Oyun Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Ankara Üniversitesi,Yapay Zeka,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Koç Üniversitesi,Kriptografi ve Veri Güvenliği,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Ankara Üniversitesi,Web Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Ankara Üniversitesi,Bilgisayar Ağları,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Sabancı Üniversitesi,Bilgisayar Ağları,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Dokuz Eylül Üniversitesi,Web Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Hacettepe Üniversitesi,Veri Madenciliği,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Sabancı Üniversitesi,Kriptografi ve Veri Güvenliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Yıldız Teknik Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
İstanbul Üniversitesi,Makine Ãğrenmesi,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Koç Üniversitesi,Web Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Ankara Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Dokuz Eylül Üniversitesi,Dijital Oyun Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Orta Doğu Teknik Üniversitesi,Veritabanı Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Yıldız Teknik Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
