Üniversite Adı,Ders Adı,Ders Tanımı,Üniversite Adı_lemmatized,Üniversite Adı_stemmed,Ders Adı_lemmatized,Ders Adı_stemmed,Ders Tanımı_lemmatized,Ders Tanımı_stemmed
Marmara Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Marmara üniversite,marmar üniversites,maki,mak,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Koç Üniversitesi,Veri Bilimi,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",koçmak üniversite,koç üniversites,veri bili,ver bil,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Marmara Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",Marmara üniversite,marmar üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Hacettepe Üniversitesi,İnternet Programcılığı,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Hacettepe üniversite,hacettep üniversites,Unk program,i̇nternet programcılık,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Marmara Üniversitesi,Nesne Tabanlı Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Marmara üniversite,marmar üniversites,nesne taban programlamak,nesne tabanlı programla,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
İstanbul Teknik Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Unk teknik üniversite,i̇stanbul teknik üniversites,siber Güvenlik,siber güvenlik,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Koç Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",koçmak üniversite,koç üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Koç Üniversitesi,Siber Güvenlik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",koçmak üniversite,koç üniversites,siber Güvenlik,siber güvenlik,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
İstanbul Üniversitesi,Veri Madenciliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Unk üniversite,i̇stanbul üniversites,veri maden,ver madencilik,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",orta doğu teknik üniversite,or dok teknik üniversites,maki,mak,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Dokuz Eylül Üniversitesi,Web Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",dokuz eylül üniversite,dok eylül üniversites,Web programlamak,web programla,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Hacettepe Üniversitesi,Kriptografi ve Veri Güvenliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Hacettepe üniversite,hacettep üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Boğaziçi Üniversitesi,Nesne Tabanlı Programlama,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Boğaziçi üniversite,boğaziç üniversites,nesne taban programlamak,nesne tabanlı programla,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Ankara üniversite,ankar üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Boğaziçi Üniversitesi,Genel Matematik,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Boğaziçi üniversite,boğaziç üniversites,genel matematik,genel matematik,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",dokuz eylül üniversite,dok eylül üniversites,siber Güvenlik,siber güvenlik,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Boğaziçi üniversite,boğaziç üniversites,maki,mak,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",yıldız teknik üniversite,yıldız teknik üniversites,veri taba Yönet sistem,ver taba yönet sistem,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Hacettepe Üniversitesi,Programlama Dilleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Hacettepe üniversite,hacettep üniversites,programlamak dil,programla dil,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Sabancı Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",saban üniversite,sabancı üniversites,dijital oymak programlamak,dijital oy programla,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Koç Üniversitesi,Sistem Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",koçmak üniversite,koç üniversites,sistem programlamak,siste programla,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",dokuz eylül üniversite,dok eylül üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Dokuz Eylül Üniversitesi,İçerik Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",dokuz eylül üniversite,dok eylül üniversites,Unk Yönet sistem,i̇çerik yönet sistem,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Yıldız Teknik Üniversitesi,Yapay Zeka,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",yıldız teknik üniversite,yıldız teknik üniversites,yapay zekâ,yapay zeka,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Ankara Üniversitesi,Makine Ãğrenmesi,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Ankara üniversite,ankar üniversites,maki,mak,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Ankara üniversite,ankar üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Koç Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",koçmak üniversite,koç üniversites,veri bili,ver bil,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",orta doğu teknik üniversite,or dok teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Koç Üniversitesi,Sistem Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",koçmak üniversite,koç üniversites,sistem programlamak,siste programla,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Orta Doğu Teknik Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",orta doğu teknik üniversite,or dok teknik üniversites,dijital oymak programlamak,dijital oy programla,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Koç Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",koçmak üniversite,koç üniversites,siber Güvenlik,siber güvenlik,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Unk üniversite,i̇stanbul üniversites,nesne taban programlamak,nesne tabanlı programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Orta Doğu Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",orta doğu teknik üniversite,or dok teknik üniversites,Unk Yönet sistem,i̇çerik yönet sistem,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Koç Üniversitesi,Web Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",koçmak üniversite,koç üniversites,Web programlamak,web programla,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Boğaziçi üniversite,boğaziç üniversites,Unk Yönet sistem,i̇çerik yönet sistem,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Hacettepe Üniversitesi,Veri Bilimi,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Hacettepe üniversite,hacettep üniversites,veri bili,ver bil,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Yıldız Teknik Üniversitesi,Programlama Dilleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,yıldız teknik üniversite,yıldız teknik üniversites,programlamak dil,programla dil,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Boğaziçi Üniversitesi,Programlama Dilleri,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Boğaziçi üniversite,boğaziç üniversites,programlamak dil,programla dil,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Koç Üniversitesi,Veritabanı Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",koçmak üniversite,koç üniversites,veritabanı sistem,veritaba sistem,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Boğaziçi Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Boğaziçi üniversite,boğaziç üniversites,veri bili,ver bil,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
İstanbul Üniversitesi,Bilgisayar Ağları,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Unk üniversite,i̇stanbul üniversites,bilgisayar ağ,bilgisayar ak,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",Marmara üniversite,marmar üniversites,veri taba Yönet sistem,ver taba yönet sistem,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Hacettepe Üniversitesi,Veri Bilimi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",Hacettepe üniversite,hacettep üniversites,veri bili,ver bil,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Unk teknik üniversite,i̇stanbul teknik üniversites,Unk program,i̇nternet programcılık,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Boğaziçi üniversite,boğaziç üniversites,Unk Yönet sistem,i̇çerik yönet sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",orta doğu teknik üniversite,or dok teknik üniversites,veri taba Yönet sistem,ver taba yönet sistem,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
