Üniversite Adı,Ders Adı,Ders Tanımı,lemmatized_text
Boğaziçi Üniversitesi,İnternet Programcılığı,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
İstanbul Üniversitesi,Veri Madenciliği,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Dokuz Eylül Üniversitesi,Genel Matematik,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Marmara Üniversitesi,Genel Matematik,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
İstanbul Teknik Üniversitesi,Programlama Dilleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Dokuz Eylül Üniversitesi,Yapay Zeka,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Koç Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Hacettepe Üniversitesi,Veri Madenciliği,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
İstanbul Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Koç Üniversitesi,Web Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Hacettepe Üniversitesi,Veri Bilimi,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Yıldız Teknik Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Sabancı Üniversitesi,Sistem Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Boğaziçi Üniversitesi,Veritabanı Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
İstanbul Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Ankara Üniversitesi,Yapay Zeka,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Koç Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Hacettepe Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
İstanbul Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Sabancı Üniversitesi,Dijital Oyun Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
İstanbul Üniversitesi,İnternet Programcılığı,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Koç Üniversitesi,Bilgisayar Ağları,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Marmara Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Koç Üniversitesi,Yapay Zeka,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Hacettepe Üniversitesi,Genel Matematik,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Yıldız Teknik Üniversitesi,Veri Bilimi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Boğaziçi Üniversitesi,Nesne Tabanlı Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Hacettepe Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Boğaziçi Üniversitesi,Veri Madenciliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Yıldız Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Dokuz Eylül Üniversitesi,İnternet Programcılığı,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
İstanbul Üniversitesi,Bilgisayar Ağları,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Sabancı Üniversitesi,Web Programlama,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Hacettepe Üniversitesi,Siber Güvenlik,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Hacettepe Üniversitesi,Web Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Yıldız Teknik Üniversitesi,Sistem Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
İstanbul Üniversitesi,Dijital Oyun Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Ankara Üniversitesi,Veritabanı Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
İstanbul Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Ankara Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Dokuz Eylül Üniversitesi,Bilgisayar Ağları,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
İstanbul Teknik Üniversitesi,Veri Bilimi,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Marmara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Ankara Üniversitesi,Programlama Dilleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Dokuz Eylül Üniversitesi,İnternet Programcılığı,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
İstanbul Teknik Üniversitesi,Bilgisayar Ağları,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Yıldız Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Marmara Üniversitesi,Mobil Uygulama Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Yıldız Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Koç Üniversitesi,Veri Madenciliği,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Marmara Üniversitesi,İnternet Programcılığı,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Koç Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Ankara Üniversitesi,Yapay Zeka,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Marmara Üniversitesi,Dijital Oyun Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Koç Üniversitesi,İçerik Yönetim Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Marmara Üniversitesi,Veritabanı Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Sabancı Üniversitesi,Genel Matematik,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Dokuz Eylül Üniversitesi,Dijital Oyun Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Ankara Üniversitesi,Nesne Tabanlı Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Yıldız Teknik Üniversitesi,Yapay Zeka,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
İstanbul Teknik Üniversitesi,Bilgisayar Ağları,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Dokuz Eylül Üniversitesi,İnternet Programcılığı,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
